大專校院校別學生數,,,
31,國立宜蘭大學,12,02 宜蘭縣
31,國立宜蘭大學,469,02 宜蘭縣
31,國立宜蘭大學,"4,373",02 宜蘭縣
31,國立宜蘭大學,216,02 宜蘭縣
31,國立宜蘭大學,406,02 宜蘭縣
32,國立聯合大學,17,05 苗栗縣
32,國立聯合大學,405,05 苗栗縣
32,國立聯合大學,"5,965",05 苗栗縣
32,國立聯合大學,38,05 苗栗縣
32,國立聯合大學,"1,134",05 苗栗縣
33,國立虎尾科技大學,48,09 雲林縣
33,國立虎尾科技大學,800,09 雲林縣
33,國立虎尾科技大學,"7,333",09 雲林縣
33,國立虎尾科技大學,206,09 雲林縣
33,國立虎尾科技大學,56,09 雲林縣
33,國立虎尾科技大學,174,09 雲林縣
33,國立虎尾科技大學,191,09 雲林縣
33,國立虎尾科技大學,"2,065",09 雲林縣
33,國立虎尾科技大學,165,09 雲林縣
35,國立臺南藝術大學,52,11 臺南市
35,國立臺南藝術大學,539,11 臺南市
35,國立臺南藝術大學,781,11 臺南市
35,國立臺南藝術大學,170,11 臺南市
35,國立臺南藝術大學,57,11 臺南市
36,國立臺南大學,163,21 臺南市
36,國立臺南大學,915,21 臺南市
36,國立臺南大學,"3,885",21 臺南市
36,國立臺南大學,657,21 臺南市
36,國立臺南大學,153,21 臺南市
37,國立臺北教育大學,153,30 臺北市
37,國立臺北教育大學,"1,362",30 臺北市
37,國立臺北教育大學,"3,349",30 臺北市
37,國立臺北教育大學,"1,021",30 臺北市
39,國立臺中教育大學,112,19 臺中市
39,國立臺中教育大學,831,19 臺中市
39,國立臺中教育大學,"3,196",19 臺中市
39,國立臺中教育大學,763,19 臺中市
42,國立澎湖科技大學,74,16 澎湖縣
42,國立澎湖科技大學,"2,599",16 澎湖縣
42,國立澎湖科技大學,34,16 澎湖縣
42,國立澎湖科技大學,39,16 澎湖縣
42,國立澎湖科技大學,301,16 澎湖縣
43,國立勤益科技大學,34,06 臺中市
43,國立勤益科技大學,584,06 臺中市
43,國立勤益科技大學,"6,631",06 臺中市
43,國立勤益科技大學,93,06 臺中市
43,國立勤益科技大學,284,06 臺中市
43,國立勤益科技大學,"3,605",06 臺中市
43,國立勤益科技大學,424,06 臺中市
43,國立勤益科技大學,479,06 臺中市
44,國立體育大學,158,03 桃園市
44,國立體育大學,341,03 桃園市
44,國立體育大學,"1,772",03 桃園市
44,國立體育大學,223,03 桃園市
44,國立體育大學,92,03 桃園市
46,國立臺北護理健康大學,74,30 臺北市
46,國立臺北護理健康大學,574,30 臺北市
46,國立臺北護理健康大學,"2,837",30 臺北市
46,國立臺北護理健康大學,936,30 臺北市
46,國立臺北護理健康大學,194,30 臺北市
46,國立臺北護理健康大學,723,30 臺北市
47,國立高雄餐旅大學,35,50 高雄市
47,國立高雄餐旅大學,168,50 高雄市
47,國立高雄餐旅大學,"3,055",50 高雄市
47,國立高雄餐旅大學,85,50 高雄市
47,國立高雄餐旅大學,249,50 高雄市
47,國立高雄餐旅大學,37,50 高雄市
47,國立高雄餐旅大學,"1,077",50 高雄市
47,國立高雄餐旅大學,222,50 高雄市
47,國立高雄餐旅大學,1,50 高雄市
48,國立金門大學,209,71 金門縣
48,國立金門大學,"2,977",71 金門縣
48,國立金門大學,103,71 金門縣
48,國立金門大學,842,71 金門縣
49,國立臺灣體育運動大學,7,19 臺中市
49,國立臺灣體育運動大學,261,19 臺中市
49,國立臺灣體育運動大學,"2,362",19 臺中市
49,國立臺灣體育運動大學,112,19 臺中市
49,國立臺灣體育運動大學,380,19 臺中市
50,國立臺中科技大學,417,19 臺中市
50,國立臺中科技大學,"5,355",19 臺中市
50,國立臺中科技大學,"1,384",19 臺中市
50,國立臺中科技大學,"3,473",19 臺中市
50,國立臺中科技大學,221,19 臺中市
50,國立臺中科技大學,"2,178",19 臺中市
50,國立臺中科技大學,"1,778",19 臺中市
50,國立臺中科技大學,"1,285",19 臺中市
51,國立臺北商業大學,6,30 臺北市
51,國立臺北商業大學,281,30 臺北市
51,國立臺北商業大學,"2,472",30 臺北市
51,國立臺北商業大學,683,30 臺北市
51,國立臺北商業大學,"1,752",30 臺北市
51,國立臺北商業大學,53,30 臺北市
51,國立臺北商業大學,826,30 臺北市
51,國立臺北商業大學,821,30 臺北市
51,國立臺北商業大學,738,30 臺北市
52,國立屏東大學,44,13 屏東縣
52,國立屏東大學,840,13 屏東縣
52,國立屏東大學,"6,655",13 屏東縣
52,國立屏東大學,688,13 屏東縣
52,國立屏東大學,800,13 屏東縣
53,國立高雄科技大學,563,50 高雄市
53,國立高雄科技大學,"2,379",50 高雄市
53,國立高雄科技大學,"17,294",50 高雄市
53,國立高雄科技大學,394,50 高雄市
53,國立高雄科技大學,739,50 高雄市
53,國立高雄科技大學,"2,010",50 高雄市
53,國立高雄科技大學,"3,947",50 高雄市
53,國立高雄科技大學,112,50 高雄市
144,國立臺灣戲曲學院,546,30 臺北市
221,國立臺南護理專科學校,115,21 臺南市
221,國立臺南護理專科學校,"1,801",21 臺南市
221,國立臺南護理專科學校,1,21 臺南市
222,國立臺東專科學校,595,14 臺東縣
222,國立臺東專科學校,321,14 臺東縣
222,國立臺東專科學校,125,14 臺東縣
1001,東海大學,250,19 臺中市
1001,東海大學,"1,224",19 臺中市
1001,東海大學,"13,024",19 臺中市
1001,東海大學,767,19 臺中市
1001,東海大學,445,19 臺中市
1002,輔仁大學,432,01 新北市
1002,輔仁大學,"1,943",01 新北市
1002,輔仁大學,"17,584",01 新北市
1002,輔仁大學,"1,433",01 新北市
1002,輔仁大學,54,01 新北市
1002,輔仁大學,"4,205",01 新北市
1003,東吳大學,118,30 臺北市
1003,東吳大學,"1,294",30 臺北市
1003,東吳大學,"11,760",30 臺北市
1003,東吳大學,"1,205",30 臺北市
1003,東吳大學,997,30 臺北市
1004,中原大學,345,03 桃園市
1004,中原大學,"1,605",03 桃園市
1004,中原大學,"13,560",03 桃園市
1004,中原大學,895,03 桃園市
1005,淡江大學,394,01 新北市
1005,淡江大學,"1,572",01 新北市
1005,淡江大學,"20,239",01 新北市
1005,淡江大學,755,01 新北市
1005,淡江大學,"1,249",01 新北市
1006,中國文化大學,511,30 臺北市
1006,中國文化大學,"1,588",30 臺北市
1006,中國文化大學,"20,402",30 臺北市
1006,中國文化大學,634,30 臺北市
1006,中國文化大學,162,30 臺北市
1006,中國文化大學,"1,491",30 臺北市
1007,逢甲大學,425,19 臺中市
1007,逢甲大學,"1,494",19 臺中市
1007,逢甲大學,"17,208",19 臺中市
1007,逢甲大學,"1,056",19 臺中市
1007,逢甲大學,876,19 臺中市
1008,靜宜大學,47,06 臺中市
1008,靜宜大學,597,06 臺中市
1008,靜宜大學,"11,050",06 臺中市
1008,靜宜大學,324,06 臺中市
1009,長庚大學,443,03 桃園市
1009,長庚大學,"1,088",03 桃園市
1009,長庚大學,"5,099",03 桃園市
1009,長庚大學,181,03 桃園市
1010,元智大學,267,03 桃園市
1010,元智大學,794,03 桃園市
1010,元智大學,"7,092",03 桃園市
1010,元智大學,586,03 桃園市
1011,中華大學,72,18 新竹市
1011,中華大學,309,18 新竹市
1011,中華大學,"4,048",18 新竹市
1011,中華大學,153,18 新竹市
1011,中華大學,193,18 新竹市
1011,中華大學,173,18 新竹市
1012,大葉大學,121,07 彰化縣
1012,大葉大學,467,07 彰化縣
1012,大葉大學,"6,238",07 彰化縣
1012,大葉大學,331,07 彰化縣
1012,大葉大學,81,07 彰化縣
1012,大葉大學,532,07 彰化縣
1013,華梵大學,61,01 新北市
1013,華梵大學,186,01 新北市
1013,華梵大學,746,01 新北市
1013,華梵大學,172,01 新北市
1014,義守大學,156,12 高雄市
1014,義守大學,359,12 高雄市
1014,義守大學,"12,112",12 高雄市
1014,義守大學,360,12 高雄市
1014,義守大學,154,12 高雄市
1014,義守大學,"1,210",12 高雄市
1015,世新大學,99,30 臺北市
1015,世新大學,566,30 臺北市
1015,世新大學,"9,431",30 臺北市
1015,世新大學,655,30 臺北市
1015,世新大學,472,30 臺北市
1016,銘傳大學,77,30 臺北市
1016,銘傳大學,713,30 臺北市
1016,銘傳大學,"17,052",30 臺北市
1016,銘傳大學,772,30 臺北市
1017,實踐大學,30,30 臺北市
1017,實踐大學,401,30 臺北市
1017,實踐大學,"10,683",30 臺北市
1017,實踐大學,119,30 臺北市
1017,實踐大學,123,30 臺北市
1017,實踐大學,"1,860",30 臺北市
1018,朝陽科技大學,107,06 臺中市
1018,朝陽科技大學,629,06 臺中市
1018,朝陽科技大學,"11,412",06 臺中市
1018,朝陽科技大學,79,06 臺中市
1018,朝陽科技大學,366,06 臺中市
1018,朝陽科技大學,"2,457",06 臺中市
1019,高雄醫學大學,330,50 高雄市
1019,高雄醫學大學,712,50 高雄市
1019,高雄醫學大學,"5,221",50 高雄市
1019,高雄醫學大學,215,50 高雄市
1019,高雄醫學大學,12,50 高雄市
1020,南華大學,57,10 嘉義縣
1020,南華大學,601,10 嘉義縣
1020,南華大學,"4,324",10 嘉義縣
1020,南華大學,398,10 嘉義縣
1020,南華大學,321,10 嘉義縣
1021,真理大學,118,01 新北市
1021,真理大學,"5,072",01 新北市
1021,真理大學,21,01 新北市
1021,真理大學,44,01 新北市
1022,大同大學,110,30 臺北市
1022,大同大學,228,30 臺北市
1022,大同大學,"3,545",30 臺北市
1022,大同大學,129,30 臺北市
1023,南臺科技大學,97,11 臺南市
1023,南臺科技大學,793,11 臺南市
1023,南臺科技大學,"12,519",11 臺南市
1023,南臺科技大學,121,11 臺南市
1023,南臺科技大學,250,11 臺南市
1023,南臺科技大學,352,11 臺南市
1023,南臺科技大學,"3,748",11 臺南市
1023,南臺科技大學,144,11 臺南市
